ID team,ID opponent,%T,%O
17,92,82.58343393277214,17.416566067227855
17,56,31.15319149143391,68.8468085085661
56,92,91.06801480941445,8.931985190585543
29,396,96.96932949763045,3.030670502369553
396,29,3.030670502369553,96.96932949763045
46,56,8.569088515593704,91.4309114844063
442,17,43.83683926461167,56.16316073538833
15,447,70.89284459862441,29.1071554013756
333,31,94.97815983289979,5.021840167100207
46,447,58.001667399901876,41.998332600098124
396,35,24.303165110951134,75.69683488904886
15,396,82.03970363951323,17.960296360486776
12,333,1.6348824817197356,98.36511751828027
31,442,36.67570665420207,63.32429334579793
35,12,64.26574266530645,35.734257334693545
1,447,95.66731926870486,4.332680731295142
447,17,12.842104408638736,87.15789559136125
396,333,0.9810746401418453,99.01892535985814
17,49,40.87432068417034,59.12567931582966
442,447,84.23195453075512,15.768045469244882
452,447,70.68754451599591,29.312455484004087
35,56,10.007031214210418,89.99296878578959
1,396,97.57785912674115,2.422140873258857
447,15,29.1071554013756,70.89284459862441
452,49,19.51860495948359,80.4813950405164
333,29,77.24185500372744,22.758144996272563
12,35,35.734257334693545,64.26574266530645
447,49,9.370788997231449,90.62921100276856
447,12,52.14389181776093,47.85610818223907
35,447,62.280813228722934,37.719186771277066
31,35,65.59635398421236,34.40364601578765
35,333,2.79885090234531,97.20114909765468
56,447,93.5491853684777,6.45081463152231
46,35,45.53492040092921,54.4650795990708
333,92,97.51713627880106,2.4828637211989353
452,17,25.836820365017747,74.16317963498226
31,29,14.600512703187999,85.399487296812
17,1,22.58317346110057,77.41682653889943
442,56,26.154893846911875,73.84510615308812
452,56,13.823718248134313,86.17628175186569
49,442,64.93332256730605,35.06667743269394
12,15,27.389242060242175,72.61075793975783
17,29,27.091231475510874,72.90876852448912
15,49,19.672952175536132,80.32704782446386
29,447,94.59731822046817,5.402681779531844
396,31,14.597559046443074,85.40244095355693
12,49,8.698277818087684,91.30172218191233
15,56,13.93953913287,86.06046086712999
452,46,63.638197032244484,36.36180296775552
333,49,86.17959409432635,13.820405905673649
1,35,93.21635338207732,6.78364661792267
49,15,80.32704782446386,19.672952175536132
35,452,40.584050108188755,59.41594989181124
49,35,85.65596508675756,14.34403491324244
56,333,19.514188477161877,80.48581152283812
442,12,85.30393401851339,14.696065981486594
442,35,76.59991476529274,23.400085234707273
29,56,54.96385197404654,45.03614802595346
46,92,48.80822794694264,51.19177205305736
442,1,18.629641750637013,81.370358249363
35,29,8.41994625932993,91.58005374067007
15,35,59.657240893296645,40.342759106703355
49,333,13.820405905673649,86.17959409432635
12,29,5.00339979364439,94.99660020635561
17,333,10.108805953057576,89.89119404694243
31,92,68.47790932352197,31.522090676478033
447,452,29.312455484004087,70.68754451599591
35,46,54.4650795990708,45.53492040092921
333,12,98.36511751828027,1.6348824817197356
442,31,63.32429334579793,36.67570665420207
396,92,26.76219540256674,73.23780459743325
1,333,27.290038452738358,72.70996154726164
333,1,72.70996154726164,27.290038452738358
49,447,90.62921100276856,9.370788997231449
35,396,75.69683488904886,24.303165110951134
49,396,94.6724870567899,5.327512943210102
442,333,8.153300806870813,91.84669919312918
396,49,5.327512943210102,94.6724870567899
29,452,88.30685000984909,11.693149990150914
447,46,41.998332600098124,58.001667399901876
333,56,80.48581152283812,19.514188477161877
17,12,88.0537881837245,11.946211816275497
333,396,99.01892535985814,0.9810746401418453
15,442,31.010067109037504,68.98993289096249
29,333,22.758144996272563,77.24185500372744
35,1,6.78364661792267,93.21635338207732
29,46,92.80369280001064,7.1963071999893575
56,442,73.84510615308812,26.154893846911875
396,442,9.180758603875152,90.81924139612485
29,12,94.99660020635561,5.00339979364439
447,31,24.199077773396127,75.80092222660387
29,1,43.88197355046947,56.11802644953053
31,452,56.58991402369915,43.41008597630085
29,17,72.90876852448912,27.091231475510874
447,442,15.768045469244882,84.23195453075512
49,452,80.4813950405164,19.51860495948359
56,46,91.4309114844063,8.569088515593704
396,12,36.487454570204456,63.51254542979555
35,49,14.34403491324244,85.65596508675756
452,92,62.532648803173686,37.46735119682631
452,442,30.7976828264801,69.2023171735199
17,15,73.97322332662645,26.026776673373558
447,396,65.46693571620274,34.53306428379725
17,35,80.66539852559065,19.334601474409354
447,35,37.719186771277066,62.280813228722934
396,1,2.422140873258857,97.57785912674115
29,49,65.11370638326659,34.88629361673341
17,442,56.16316073538833,43.83683926461167
31,46,69.48873160489893,30.511268395101077
12,452,27.586749673122018,72.41325032687797
17,46,83.23960663418514,16.760393365814867
15,17,26.026776673373558,73.97322332662645
442,29,22.551736359629892,77.4482636403701
15,92,62.766614504417475,37.23338549558252
17,447,87.15789559136125,12.842104408638736
452,15,49.74903317413377,50.25096682586623
31,12,77.31256470983543,22.68743529016458
46,452,36.36180296775552,63.638197032244484
35,17,19.334601474409354,80.66539852559065
46,1,5.7867510360258665,94.21324896397414
396,56,3.631069311329659,96.36893068867035
46,396,72.30561251018457,27.694387489815416
46,17,16.760393365814867,83.23960663418514
452,396,81.89530983809745,18.10469016190256
452,12,72.41325032687797,27.586749673122018
1,17,77.41682653889943,22.58317346110057
35,15,40.342759106703355,59.657240893296645
46,442,20.403090184087155,79.59690981591285
15,12,72.61075793975783,27.389242060242175
12,442,14.696065981486594,85.30393401851339
12,396,63.51254542979555,36.487454570204456
46,12,60.07229050118874,39.927709498811254
29,35,91.58005374067007,8.41994625932993
447,333,1.7687799218105287,98.23122007818948
15,452,50.25096682586623,49.74903317413377
31,56,17.176121538283866,82.82387846171613
31,333,5.021840167100207,94.97815983289979
12,92,38.79294888572221,61.20705111427779
31,1,11.884983208111597,88.1150167918884
12,447,47.85610818223907,52.14389181776093
17,31,68.83429343122381,31.16570656877619
15,46,63.86907738256099,36.13092261743901
12,56,5.977603642833316,94.02239635716668
442,46,79.59690981591285,20.403090184087155
452,29,11.693149990150914,88.30685000984909
56,15,86.06046086712999,13.93953913287
452,1,9.471046603823897,90.5289533961761
56,1,39.058999418330195,60.941000581669805
56,29,45.03614802595346,54.96385197404654
46,15,36.13092261743901,63.86907738256099
452,35,59.41594989181124,40.584050108188755
56,396,96.36893068867035,3.631069311329659
56,35,89.99296878578959,10.007031214210418
12,1,4.010111886986902,95.9898881130131
452,31,43.41008597630085,56.58991402369915
56,31,82.82387846171613,17.176121538283866
442,452,69.2023171735199,30.7976828264801
396,447,34.53306428379725,65.46693571620274
15,333,3.9918362551022044,96.00816374489779
1,92,93.96242899258357,6.0375710074164335
46,333,2.377120081386885,97.62287991861311
35,442,23.400085234707273,76.59991476529274
333,15,96.00816374489779,3.9918362551022044
12,31,22.68743529016458,77.31256470983543
35,31,34.40364601578765,65.59635398421236
29,31,85.399487296812,14.600512703187999
56,452,86.17628175186569,13.823718248134313
31,17,31.16570656877619,68.83429343122381
12,17,11.946211816275497,88.0537881837245
15,31,43.656600296851735,56.343399703148265
31,15,56.343399703148265,43.656600296851735
442,92,78.82931531814744,21.170684681852553
333,442,91.84669919312918,8.153300806870813
29,15,88.20692251263318,11.793077487366817
56,49,60.48267831315647,39.51732168684353
396,17,7.393616866462398,92.6063831335376
17,396,92.6063831335376,7.393616866462398
396,46,27.694387489815416,72.30561251018457
333,452,96.04418148883481,3.955818511165184
1,12,95.9898881130131,4.010111886986902
447,56,6.45081463152231,93.5491853684777
31,49,23.921967024969714,76.07803297503028
49,17,59.12567931582966,40.87432068417034
15,29,11.793077487366817,88.20692251263318
333,17,89.89119404694243,10.108805953057576
49,29,34.88629361673341,65.11370638326659
442,15,68.98993289096249,31.010067109037504
333,35,97.20114909765468,2.79885090234531
56,17,68.8468085085661,31.15319149143391
1,29,56.11802644953053,43.88197355046947
442,396,90.81924139612485,9.180758603875152
452,333,3.955818511165184,96.04418148883481
49,31,76.07803297503028,23.921967024969714
447,29,5.402681779531844,94.59731822046817
46,49,12.350481496411922,87.64951850358807
396,15,17.960296360486776,82.03970363951323
35,92,53.280720711615295,46.719279288384705
31,447,75.80092222660387,24.199077773396127
46,29,7.1963071999893575,92.80369280001064
15,1,9.553583694693092,90.44641630530691
333,447,98.23122007818948,1.7687799218105287
29,92,92.49535416287704,7.504645837122968
17,452,74.16317963498226,25.836820365017747
396,452,18.10469016190256,81.89530983809745
442,49,35.06667743269394,64.93332256730605
447,92,40.84359425518237,59.15640574481762
56,12,94.02239635716668,5.977603642833316
31,396,85.40244095355693,14.597559046443074
447,1,4.332680731295142,95.66731926870486
46,31,30.511268395101077,69.48873160489893
29,442,77.4482636403701,22.551736359629892
333,46,97.62287991861311,2.377120081386885
12,46,39.927709498811254,60.07229050118874
1,56,60.941000581669805,39.058999418330195
1,452,90.5289533961761,9.471046603823897
1,442,81.370358249363,18.629641750637013
92,15,37.23338549558252,62.766614504417475
92,447,59.15640574481762,40.84359425518237
49,46,87.64951850358807,12.350481496411922
49,1,29.56527309169063,70.43472690830937
92,46,51.19177205305736,48.80822794694264
1,46,94.21324896397414,5.7867510360258665
49,92,87.14415636250645,12.855843637493546
92,17,17.416566067227855,82.58343393277214
92,333,2.4828637211989353,97.51713627880106
92,396,73.23780459743325,26.76219540256674
92,12,61.20705111427779,38.79294888572221
1,31,88.1150167918884,11.884983208111597
92,29,7.504645837122968,92.49535416287704
1,15,90.44641630530691,9.553583694693092
92,35,46.719279288384705,53.280720711615295
92,31,31.522090676478033,68.47790932352197
1,49,70.43472690830937,29.56527309169063
49,56,39.51732168684353,60.48267831315647
92,56,8.931985190585543,91.06801480941445
49,12,91.30172218191233,8.698277818087684
92,1,6.0375710074164335,93.96242899258357
92,49,12.855843637493546,87.14415636250645
92,442,21.170684681852553,78.82931531814744
92,452,37.46735119682631,62.532648803173686
